"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","InJu2","InChM","InCf2","v_180","v_181","Hrm_rel","Hrm_oth","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","condition","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","cog_M_ch_bin","cog_Rb","cog_right_logic","cog_right","cog_number_right","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","Dumb_response","right_change","wrong1b","wrong2b"
1,1,0,"no tester","Completed (31)","3212384                     ",NA,3236,NA,NA,"Yes","Female",18,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"Because they were not doing anything that harmed anyone else                                                                                                                                                                                                  ",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",7,"6",7,"9P8R2LD                                                                                                                                                                                                                                                       ","neither difficult nor easy","Yes, I am able to believe this","Yes, I am able to believe this","1: Not at all","1: Not at all","7: Extremely","2","4: neutral","No","No",4,3,7,7,3,4,6,2,6,8,7,7,5,7,2,3,8,3,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212335,3212336,3212337,3212338,3212339,3212340,3212341,3212343,3212380,3212344,3212345,3212346,3212347,3212348,3212349,3212350,3212351,3212352,3212353,3212354,3212355,3212356,3212357,3212358,3212359,3212360,3212361,3212362,3212364,3212365,3212366,321236","Flipped","Not flipped","cog_load","neutral","right","not wrong","not wrong",3,3,7,4,8,4,3,7,2,84,-0.333333333333333,"neutral","9P8R2LD                                                                                                                                                                                                                                                       ",FALSE,"wrong",7,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"nothing wrong","nothing wrong",NA,"not wrong"
2,2,0,"no tester","Completed (31)","3212384                     ",NA,2899,NA,NA,"Yes","Male",24,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Violating moral norm for any reason can jeopardize the society, even if no one is harmed. As moral norms are what holds the society together. Thus individual must not violate moral norms for fun or personal enjoyment.                                     ",1,"That is incest in purest form.                                                                                                                                                                                                                                ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","As far as I know, there's no human society that will justify incest as being moral.                                                                                                                                                                           ",1,"1: Not at all",7,"9P8R2L7D                                                                                                                                                                                                                                                      ","Extremely easy","No, I am not able to believe this","No, I am not able to believe this","6","1: Not at all","7: Extremely","1: Not at all","4: neutral","No","No",8,8,2,2,2,8,8,5,2,5,8,2,8,8,8,8,2,8,"Yes","Am currently taking Philosophy  The Basic Questions  as a module. Moreover, I have completed few tasks on Ethics and Morality.                                                                                                                                ","yes","The White Supremacist Rally in Challottesville, Virginia was given to me in the Philosophy class as a case study for an ethical dilemma exercise.                                                                                                             ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212335,3212336,3212337,3212338,3212339,3212340,3212341,3212342,3212343,3212344,3212345,3212346,3212347,3212348,3212349,3212350,3212351,3212352,3212353,3212354,3212355,3212356,3212357,3212358,3212359,3212360,3212361,3212362,3212363,3212364,3212365,321236","Flipped","Not flipped","cog_load","wrong","wrong","wrong","wrong",8,8,8,2,5,8,8,2,8,126,2,"easy","9P8R2L7D                                                                                                                                                                                                                                                      ",TRUE,"right",8,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
3,4,0,"no tester","Completed (31)","3212384                     ",NA,2703,NA,NA,"Yes","Male",21,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","yes, for reasons such as you may not have committed direct offences but they may have negative consequences in the long term.                                                                                                                                 ",3,"if there were discrete while doing this and not offending anyone else by being caught it brought them together so it had a positive effect for them.                                                                                                          ",4,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",4,"2",3,"9P8L7D                                                                                                                                                                                                                                                        ","Difficult","Yes, I am able to believe this","Yes, I am able to believe this","3","4: neutral","6","7: Extremely","1: Extremely wrong","No","No",8,6,5,1,9,9,1,9,9,9,8,5,5,5,4,5,4,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212335,3212336,3212337,3212338,3212339,3212340,3212341,3212342,3212343,3212344,3212345,3212346,3212347,3212348,3212349,3212350,3212351,3212352,3212353,3212354,3212355,3212356,3212357,3212358,3212359,3212360,3212361,3212362,3212364,3212365,3212366,321236","Flipped","Flipped","cog_load","wrong","neutral","wrong","not wrong",5,9,1,9,1,1,5,5,6,102,0.666666666666667,"difficult","9P8L7D                                                                                                                                                                                                                                                        ",FALSE,"wrong",6,"wrong","not wrong","not wrong","not wrong","not wrong","not wrong",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,"nothing wrong","nothing wrong","wrong",NA
4,7,0,"no tester","Completed (31)","3212384                     ",NA,936,NA,NA,"Yes","Female",32,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","because this kind of behavior is inappropriate no matter is no one harmed or not                                                                                                                                                                              ",1,"having sex with sibling is illegal                                                                                                                                                                                                                            ",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","it is illegal                                                                                                                                                                                                                                                 ",1,"1: Not at all",7,"P8R2L2D7                                                                                                                                                                                                                                                      ","neither difficult nor easy","No, I am not able to believe this","No, I am not able to believe this","5","4: neutral","7: Extremely","4: neutral","1: Extremely wrong","Yes","No",5,8,5,4,3,5,3,7,5,5,8,2,5,5,5,4,2,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212335,3212336,3212337,3212338,3212339,3212340,3212341,3212342,3212343,3212380,3212344,3212345,3212346,3212347,3212348,3212349,3212350,3212351,3212352,3212353,3212354,3212355,3212356,3212357,3212358,3212359,3212360,3212361,3212362,3212363,3212364,321236","Flipped","Not flipped","cog_load","wrong","wrong","wrong","wrong",5,6,7,7,3,5,8,6,8,106,0.888888888888889,"neutral","P8R2L2D7                                                                                                                                                                                                                                                      ",FALSE,"wrong",7,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
5,8,0,"no tester","Completed (31)","3212384                     ",NA,1129,NA,NA,"Yes","Female",19,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Just because no one was hurt doesn't mean it's okay to do it                                                                                                                                                                                                  ",1,"Because they are brother and sister.                                                                                                                                                                                                                          ",6,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Although they used contraception, what if it didn't work and they had a child. This may also start as a once off, but they might get romantic feelings with one another.                                                                                      ",1,"1: Not at all",6,"9P8R2L7D                                                                                                                                                                                                                                                      ","Very difficult","No, I am not able to believe this","No, I am not able to believe this","5","6","6","6","4: neutral","No","No",6,3,3,4,6,3,6,7,7,6,6,6,4,4,4,3,6,7,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212335,3212336,3212337,3212338,3212339,3212340,3212341,3212342,3212343,3212344,3212345,3212346,3212347,3212348,3212349,3212350,3212351,3212352,3212353,3212354,3212355,3212356,3212357,3212358,3212359,3212360,3212361,3212362,3212363,3212364,3212365,321236","Flipped","Not flipped","cog_load","wrong","wrong","wrong","wrong",7,6,4,4,3,3,4,7,4,85,-0.277777777777778,"difficult","9P8R2L7D                                                                                                                                                                                                                                                      ",TRUE,"right",8,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
6,9,0,"no tester","Completed (31)","3212384                     ",NA,1106,NA,NA,"Yes","Female",18,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","it is wrong to violate a moral norm because a norm is the difference between right and wrong and we have been brought up to always be nice to one another so as not to hurt someone else's feelings even if you violate a norm and it doesn't hurt anyone it i",5,"they both agreed to make love and neither of them regretted it afterword's so no one was left hurt.                                                                                                                                                           ",6,"Yes","No","Unsure","Yes","No","Yes, I have a reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",5,"1: Not at all",5,"9P8R2L7D                                                                                                                                                                                                                                                      ","neither difficult nor easy","No, I am not able to believe this","Yes, I am able to believe this","5","5","4: neutral","6","3","Yes","No",6,7,5,5,3,5,4,4,6,6,7,5,6,6,7,5,3,5,"No","-99                                                                                                                                                                                                                                                           ","yes","INTERCOURSE WITH A FRIEND BUT WE STILL TALK.                                                                                                                                                                                                                  ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212335,3212336,3212337,3212338,3212339,3212340,3212341,3212342,3212343,3212380,3212344,3212345,3212346,3212347,3212348,3212349,3212350,3212351,3212352,3212353,3212354,3212355,3212356,3212357,3212358,3212359,3212360,3212361,3212362,3212364,3212365,321236","Not flipped","Not flipped","cog_load","right","right","not wrong","not wrong",5,5,7,6,6,4,5,5,7,105,0.833333333333333,"neutral","9P8R2L7D                                                                                                                                                                                                                                                      ",TRUE,"right",8,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,FALSE,0,"unstated","unstated","reason","no reason","unstated","unstated","no reason","reason","no reason",FALSE,"nothing wrong","right initially","not wrong","not wrong"
7,10,0,"no tester","Completed (31)","3212384                     ",NA,786,NA,NA,"Yes","Female",19,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","it may hurt somebody or offend ones beliefs                                                                                                                                                                                                                   ",1,"it is weird and in my opinion just wrong                                                                                                                                                                                                                      ",6,"Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","they are brother and sister they shouldn't need to have sex to make them feel closer to each other. there are different ways of bonding other than sex                                                                                                        ",1,"1: Not at all",7,"9d8lr715                                                                                                                                                                                                                                                      ","Very difficult","No, I am not able to believe this","No, I am not able to believe this","6","6","6","7: Extremely","2","Yes","No",5,6,5,7,4,4,5,6,6,5,6,5,5,5,5,4,4,4,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212335,3212336,3212337,3212338,3212339,3212340,3212341,3212342,3212343,3212380,3212344,3212345,3212346,3212347,3212348,3212349,3212350,3212351,3212352,3212353,3212354,3212355,3212356,3212357,3212358,3212359,3212360,3212361,3212362,3212363,3212364,321236","Not flipped","Not flipped","cog_load","wrong","wrong","wrong","wrong",5,3,6,5,4,4,5,6,6,89,-0.0555555555555554,"difficult","9d8lr715                                                                                                                                                                                                                                                      ",FALSE,"wrong",6,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
8,11,0,"no tester","Completed (31)","3212384                     ",NA,2007,NA,NA,"Yes","Female",19,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Because it is an established moral norm, this can deteriorate the value of this moral norm, and although no one was harmed, the morality in this situation can lead back to the person/ thing violating the norm, which can tell what morals they have.       ",1,"Although they had no regrets afterwards, and said it would never happen again, I think it is still very morally wrong, as there are limits and boundaries in certain circumstances and in this case, they were crossed and broken very much.                  ",6,"Yes","Yes","Unsure","Yes","Yes","Yes, I have a reason","Yes","Yes","No, I have no reason","It's wrong and I can provide a valid reason.","it is fair to say and see that they did not inflict any harm on anyone or themselves, but in my opinion they broke moral norms completely. and although they enjoyed it and dint harm themselves either, I still think maybe in time to come that this would a",1,"2",5,"P9R8D2L7                                                                                                                                                                                                                                                      ","neither difficult nor easy","No, I am not able to believe this","No, I am not able to believe this","4: neutral","4: neutral","4: neutral","6","3","No","No",5,7,4,2,2,4,5,4,6,6,6,3,5,6,6,4,4,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212335,3212336,3212337,3212338,3212339,3212340,3212341,3212342,3212343,3212344,3212345,3212346,3212347,3212348,3212349,3212350,3212351,3212352,3212353,3212354,3212355,3212356,3212357,3212358,3212359,3212360,3212361,3212362,3212363,3212364,3212365,321236","Flipped","Flipped","cog_load","wrong","wrong","wrong","wrong",6,8,8,5,6,4,7,6,6,107,0.944444444444445,"neutral","P9R8D2L7                                                                                                                                                                                                                                                      ",FALSE,"wrong",8,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,FALSE,0,"unstated","unstated","reason","no reason","reason","unstated","no reason","reason","no reason",FALSE,"reasons","reasons","wrong","wrong"
9,13,0,"no tester","Completed (31)","3212384                     ",NA,1652,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",5,"No one is getting hurt in this scenario. No chance of reproduction is made.                                                                                                                                                                                   ",6,"Yes","No","Yes, I have a reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",5,"1: Not at all",7,"2L197D                                                                                                                                                                                                                                                        ","Extremely difficult","Yes, I am able to believe this","Yes, I am able to believe this","2","2","5","1: Not at all","2","No","No",4,3,3,4,4,4,6,4,6,6,6,4,4,8,4,8,5,6,"No","-99                                                                                                                                                                                                                                                           ","yes","just your friendly debate talks on a late night with friends after a couple too many drinks.                                                                                                                                                                  ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",NA,NA,"                                                                                                                                                                                                                                                              ",NA,NA,NA,NA,NA,NA,NA,"                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3212335,3212336,3212337,3212338,3212339,3212340,3212341,3212343,3212380,3212344,3212345,3212346,3212347,3212348,3212349,3212350,3212351,3212352,3212353,3212354,3212355,3212356,3212357,3212358,3212359,3212360,3212361,3212362,3212364,3212365,3212366,321236","Not flipped","Not flipped","cog_load","right","right","not wrong","not wrong",7,6,6,4,6,4,6,2,5,91,0.0555555555555554,"difficult","2L197D                                                                                                                                                                                                                                                        ",FALSE,"wrong",5,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","reason","no reason","no reason","unstated","unstated","reason","no reason","no reason",FALSE,"nothing wrong","right initially","not wrong","not wrong"
