"condition","InCS","cog_load_CS_num","NFC","reason_always","changed","gender","Ju1_bin","Ju2_bin","right_change","study"
"cog_load","There is nothing wrong.",6,1.5,TRUE,TRUE,"Female","neutral","wrong","nothing wrong","study_1"
"cog_load","There is nothing wrong.",7,1.94444444444444,TRUE,FALSE,"Male","neutral","neutral","nothing wrong","study_1"
"cog_load","There is nothing wrong.",5,1,FALSE,FALSE,"Male","right","right","right initially","study_1"
"cog_load","There is nothing wrong.",8,0,TRUE,FALSE,"Female","neutral","neutral","nothing wrong","study_1"
"cog_load","There is nothing wrong.",2,-0.166666666666667,FALSE,FALSE,"Female","neutral","neutral","nothing wrong","study_1"
"cog_load","There is nothing wrong.",3,-0.5,FALSE,FALSE,"Female","neutral","neutral","nothing wrong","study_1"
"cog_load","There is nothing wrong.",4,0.777777777777778,FALSE,FALSE,"Female","neutral","right","nothing wrong","study_1"
"cog_load","There is nothing wrong.",4,1.11111111111111,TRUE,TRUE,"Female","wrong","neutral","nothing wrong","study_1"
"cog_load","There is nothing wrong.",8,1.61111111111111,TRUE,FALSE,"Female","right","right","right initially","study_1"
"cog_load","There is nothing wrong.",5,0.833333333333333,FALSE,TRUE,"Male","wrong","neutral","nothing wrong","study_1"
"cog_load","There is nothing wrong.",5,-0.388888888888889,FALSE,TRUE,"Female","neutral","neutral","nothing wrong","study_1"
"cog_load","There is nothing wrong.",3,0.666666666666667,TRUE,FALSE,"Female","right","right","right initially","study_1"
"cog_load","There is nothing wrong.",7,-0.444444444444445,TRUE,FALSE,"Female","right","right","right initially","study_1"
"cog_load","There is nothing wrong.",7,1.33333333333333,FALSE,FALSE,"Female","right","right","right initially","study_1"
"cog_load","There is nothing wrong.",8,-1.5,FALSE,FALSE,"Female","neutral","neutral","nothing wrong","study_1"
"cog_load","It's wrong but I can't think of a reason.",7,0.722222222222222,FALSE,TRUE,"Female","wrong","wrong","dumbfounded","study_1"
