"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","hrm_st","nrm_st","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","InJu2","InChM","InCf2","cogR","cogMch","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","condition","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","cog_M_ch_bin","cog_Rb","cog_right_logic","cog_right","cog_number_right","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","Dumb_response","right_change","wrong1b","wrong2b"
1,8,0,"no tester","Completed (31)","2057151                     ",NA,60616,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I don't think it is right to hurt anyone in such a way that they hurt you. Even if they did really hurt you ignoring them is the best revenge. I don't thoink sinking down to their level is right.                                                           ",4,"It is up to the people involved. They didn't just do it to do it. They did it because they wanted it to be special and just for them. They would never forget that night                                                                                      ","no harm mentioned","norms not mentioned",4,"Yes","Yes","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",3,"6",4,"P2L7D8                                                                                                                                                                                                                                                        ","Very difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","4: neutral","2","6","6",4,"No","No",7,8,3,2,3,5,2,5,1,5,7,3,6,5,7,3,2,1,"Yes","I went to a class about a year ago in Dublin and it taught me a few things                                                                                                                                                                                    ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,205730","Flipped","Not flipped","HTML",NA,NA,"3ba37ea36d33fe540cfa78c5363ec844                                                                                                ","English","Not cleaned",1486483775,"2017-02-07 16:09:35           ","2017-02-08 08:59:51           ","0000-00-00 00:00:00           ","cog_load","neutral","wrong","not wrong","wrong",7,8,7,8,5,9,7,7,8,117,1.5,"neutral","true","true","true","false","difficult","P2L7D8                                                                                                                                                                                                                                                        ",FALSE,"wrong",6,"not wrong","wrong","not wrong","not wrong","not wrong","wrong",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,3,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"nothing wrong","nothing wrong",NA,"wrong"
2,11,0,"no tester","Completed (31)","2057151                     ",NA,1215,NA,NA,"Yes","Male",20,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"Each to their own who am i to say what someone else can and cant do.                                                                                                                                                                                          ","no harm mentioned","norms not mentioned",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"1: Not at all",7,"P9D7S2L8                                                                                                                                                                                                                                                      ","Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","4: neutral","7: Extremely","3",4,"No","No",7,8,1,1,1,6,6,4,3,8,8,1,7,8,9,5,8,4,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,2057309,205731","Flipped","Not flipped","HTML",NA,NA,"8b7ad68c5cb0ef79f9acbc7ee157660f                                                                                                ","English","Not cleaned",1486544596,"2017-02-08 09:03:16           ","2017-02-08 09:23:31           ","0000-00-00 00:00:00           ","cog_load","neutral","neutral","not wrong","not wrong",9,9,9,4,6,7,9,5,2,125,1.94444444444444,"neutral","true","true","true","false","difficult","P9D7S2L8                                                                                                                                                                                                                                                      ",FALSE,"wrong",7,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"nothing wrong","nothing wrong",NA,NA
3,17,0,"no tester","Suspended (22)","2057150                     ",NA,516,NA,NA,"Yes","Male",21,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Ethically wrong                                                                                                                                                                                                                                               ",6,"Mutual Consent                                                                                                                                                                                                                                                ","no harm mentioned","norms not mentioned",7,"No","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",7,"1: Not at all",4,"2PDL27D                                                                                                                                                                                                                                                       ","Difficult","No, I am not able to believe this","Yes, I am able to believe this","harm","5","2","2","5",4,"No","No",6,6,8,5,2,4,1,5,6,8,8,2,5,8,7,7,5,7,"No","-99                                                                                                                                                                                                                                                           ","yes","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057112,2057218,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,205713","Flipped","Not flipped","HTML",NA,NA,"3bbce4ceb10d953f67e146ed4206f11d                                                                                                ","English","Not cleaned",1486561694,"2017-02-08 13:48:14           ","2017-02-08 13:56:54           ","0000-00-00 00:00:00           ","cog_load","right","right","not wrong","not wrong",2,5,8,9,5,4,8,3,5,108,1,"neutral","true","true","true","false","difficult","2PDL27D                                                                                                                                                                                                                                                       ",FALSE,"wrong",5,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,"nothing wrong","right initially","not wrong","not wrong"
4,18,0,"no tester","Completed (31)","2057151                     ",NA,572,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Regardless if someone is harmed i feel it is still wrong                                                                                                                                                                                                      ",4,"They both consented so it was not wrong                                                                                                                                                                                                                       ","no harm mentioned","norms not mentioned",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"1: Not at all",6,"9P8R2L7D                                                                                                                                                                                                                                                      ","Difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all","5","2",5,"No","No",6,6,7,4,2,2,5,4,5,5,5,4,3,4,4,6,3,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,205730","Not flipped","Not flipped","HTML",NA,NA,"f2c0580b09fd04a079bb4f2ffb8004e0                                                                                                ","English","Not cleaned",1486561697,"2017-02-08 13:48:17           ","2017-02-08 13:57:49           ","0000-00-00 00:00:00           ","cog_load","neutral","neutral","not wrong","not wrong",3,6,8,5,6,5,6,4,7,90,0,"right","true","true","true","false","difficult","9P8R2L7D                                                                                                                                                                                                                                                      ",TRUE,"right",8,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"nothing wrong","nothing wrong",NA,NA
5,20,0,"no tester","Suspended (22)","2057150                     ",NA,658,NA,NA,"Yes","Female",18,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","because it's                                                                                                                                                                                                                                                  ",4,"its up to them                                                                                                                                                                                                                                                ","no harm mentioned","norms not mentioned",4,"No","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"1: Not at all",4,"c3R7                                                                                                                                                                                                                                                          ","Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","1: Not at all","1: Not at all","4: neutral","4: neutral",4,"No","No",5,6,7,6,5,4,5,6,7,5,6,4,7,6,5,7,5,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057111,2057111,2057111,2057112,2057218,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,205713","Flipped","Flipped","HTML",NA,NA,"167fd4fb2ac2a44ec59637c1d4ef6205                                                                                                ","English","Not cleaned",1486561707,"2017-02-08 13:48:27           ","2017-02-08 13:59:28           ","0000-00-00 00:00:00           ","cog_load","neutral","neutral","not wrong","not wrong",3,4,5,5,4,3,6,3,5,87,-0.166666666666667,"neutral","true","true","true","false","difficult","c3R7                                                                                                                                                                                                                                                          ",FALSE,"wrong",2,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,"nothing wrong","nothing wrong",NA,NA
6,23,0,"no tester","Completed (31)","2057151                     ",NA,612,NA,NA,"Yes","Female",19,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"It was mutual decision between the two of them                                                                                                                                                                                                                ","no harm mentioned","norms not mentioned",4,"Yes","No","No, I have no reason","Yes","No","No, I have no reason","Yes","No","No, I have no reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"4: neutral",4,"R2P                                                                                                                                                                                                                                                           ","Very difficult","Yes, I am able to believe this","Yes, I am able to believe this","no harm","4: neutral","5","3","4: neutral",4,"No","No",4,5,6,6,6,4,6,6,4,6,4,6,5,5,4,5,6,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,2057309,205731","Flipped","Not flipped","HTML",NA,NA,"49a2a87a855b3b1d3bb05d76e8e7f3f1                                                                                                ","English","Not cleaned",1486561720,"2017-02-08 13:48:40           ","2017-02-08 13:58:52           ","0000-00-00 00:00:00           ","cog_load","neutral","neutral","not wrong","not wrong",4,4,4,4,4,6,4,5,4,81,-0.5,"neutral","true","true","true","true","difficult","R2P                                                                                                                                                                                                                                                           ",FALSE,"wrong",3,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE,"nothing wrong","nothing wrong",NA,NA
7,24,0,"no tester","Completed (31)","2057151                     ",NA,583,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"they were safe                                                                                                                                                                                                                                                ","harm mentioned","norms not mentioned",5,"No","No","Unsure","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",6,"3",6,"R8PFD                                                                                                                                                                                                                                                         ","Very difficult","No, I am not able to believe this","No, I am not able to believe this","harm","3","3","5","5",3,"Yes","No",3,6,4,5,4,6,4,7,4,6,7,4,7,7,7,4,6,7,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057107,2057107,2057108,2057109,2057110,2057112,2057218,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,205713","Not flipped","Not flipped","HTML",NA,NA,"e3481125bcc6020e165a26c54486bb2c                                                                                                ","English","Not cleaned",1486561725,"2017-02-08 13:48:45           ","2017-02-08 13:58:28           ","0000-00-00 00:00:00           ","cog_load","neutral","right","not wrong","not wrong",6,5,6,6,3,6,6,6,4,104,0.777777777777778,"wrong","true","true","true","false","difficult","R8PFD                                                                                                                                                                                                                                                         ",FALSE,"wrong",4,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","unstated","reason","reason","unstated","unstated","no reason","reason","reason",FALSE,"nothing wrong","nothing wrong",NA,"not wrong"
8,30,0,"no tester","Completed (31)","2057151                     ",NA,1513,NA,NA,"Yes","Female",24,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"It is morally wrong in the sense that as a societal moral construct it would be looked down upon.                                                                                                                                                             ","no harm mentioned","norms mentioned",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"1: Not at all",5,"9P8R                                                                                                                                                                                                                                                          ","Difficult","No, I am not able to believe this","Yes, I am able to believe this","harm","6","6","6","3",3,"No","No",5,5,6,2,1,6,2,6,7,4,8,2,7,8,6,6,4,7,"No","-99                                                                                                                                                                                                                                                           ","yes","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057112,2057218,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,205730","Flipped","Not flipped","HTML",NA,NA,"5db9b00c85acddf41d8a36f8c5b9361d                                                                                                ","English","Not cleaned",1487799677,"2017-02-22 21:41:17           ","2017-02-22 22:06:30           ","0000-00-00 00:00:00           ","cog_load","wrong","neutral","wrong","not wrong",4,8,9,8,4,3,8,4,6,110,1.11111111111111,"wrong","true","true","true","false","difficult","9P8R                                                                                                                                                                                                                                                          ",FALSE,"wrong",4,"wrong","not wrong","not wrong","not wrong","not wrong","not wrong",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"nothing wrong","nothing wrong","wrong",NA
9,32,0,"no tester","Completed (31)","2057151                     ",NA,1084,NA,NA,"Yes","Female",19,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",7,"They were both consenting individuals and were able to make the decision together and they were both careful and safe.                                                                                                                                        ","no harm mentioned","norms not mentioned",5,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",6,"1: Not at all",6,"9P8R2L7D                                                                                                                                                                                                                                                      ","Easy","Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all","6","6",4,"No","No",3,6,3,3,2,8,5,3,5,6,7,3,8,8,7,4,5,9,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,2057309,205731","Not flipped","Flipped","HTML",NA,NA,"29e0a4d02bb0f320e5740ddb2710fcc5                                                                                                ","English","Not cleaned",1488187712,"2017-02-27 09:28:32           ","2017-02-27 09:46:36           ","0000-00-00 00:00:00           ","cog_load","right","right","not wrong","not wrong",7,7,8,5,7,5,7,6,5,119,1.61111111111111,"neutral","true","true","true","true","easy","9P8R2L7D                                                                                                                                                                                                                                                      ",TRUE,"right",8,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"nothing wrong","right initially","not wrong","not wrong"
10,33,0,"no tester","Completed (31)","2057151                     ",NA,27416,NA,NA,"Yes","Male",18,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",2,"He should respect the judgements of julie and vice versa                                                                                                                                                                                                      ","no harm mentioned","norms not mentioned",4,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","No","Unsure","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"5",1,"28PR28LP                                                                                                                                                                                                                                                      ","Difficult","Yes, I am able to believe this","No, I am not able to believe this","harm","5","7: Extremely confused","5","6",3,"No","No",6,4,5,8,3,3,2,4,3,5,8,3,5,7,7,8,3,9,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2057104,2057105,2057106,2057107,2057108,2057109,2057110,2057112,2057113,2057307,2065111,2057115,2057116,2057117,2057118,2057119,2057120,2057121,2057122,2057123,2057124,2057125,2057126,2057127,2057128,2057129,2057130,2057132,2057133,2057134,2057309,205731","Not flipped","Flipped","HTML",NA,NA,"eddc452682e6da52837f4f912c1c8402                                                                                                ","English","Not cleaned",1488188508,"2017-02-27 09:41:48           ","2017-02-27 17:18:44           ","0000-00-00 00:00:00           ","cog_load","wrong","neutral","wrong","not wrong",5,2,7,8,6,7,7,2,7,105,0.833333333333333,"wrong","true","true","true","false","difficult","28PR28LP                                                                                                                                                                                                                                                      ",FALSE,"wrong",5,"wrong","wrong","wrong","not wrong","not wrong","not wrong",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","unstated","unstated","unstated","unstated","unstated","no reason","no reason","no reason",FALSE,"nothing wrong","nothing wrong","wrong",NA
